origin_country,time_position,last_contact,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,position_source,timestamp
Switzerland,1650480261,1650480261,5.2352,42.7533,10363.2,False,223.58,42.39,0,10363.2,0,1650480261
Canada,1650480261,1650480261,-73.3907,45.5359,91.44,False,30.19,225.69,-1.63,30.48,0,1650480261
United States,1650480255,1650480255,-74.1737,40.7007,,True,4.63,194.06,,,0,1650480261
United States,1650480260,1650480261,-121.8132,45.0031,6545.58,False,209.5,323.89,-0.98,6705.6,0,1650480261
United States,1650480261,1650480261,-111.8979,33.7631,1150.62,False,73.21,198.43,-0.33,1173.48,0,1650480261
United States,1650480261,1650480261,-74.2766,41.2408,9860.28,False,232.33,232.65,0,9753.6,0,1650480261
United States,1650480261,1650480261,-90.5318,30.186,11079.48,False,255.33,128.95,0,10668,0,1650480261
Switzerland,1650480261,1650480261,6.6314,46.4932,4930.14,False,189.23,57.43,0,4876.8,0,1650480261
United States,1650480261,1650480261,-104.8153,38.8328,6827.52,False,47.33,269.38,-0.33,6705.6,0,1650480261
United States,1650480261,1650480261,-84.6769,33.7069,1363.98,False,94.15,179.37,-4.88,1257.3,0,1650480261
Brazil,1650480261,1650480261,-36.2316,-9.216,11986.26,False,235.6,27.01,0,11277.6,0,1650480261
United States,1650480261,1650480261,-105.3537,34.1933,11658.6,False,250,122.91,0,11277.6,0,1650480261
United States,1650480259,1650480260,-112.2681,33.5319,563.88,False,45.76,21.08,-3.25,579.12,0,1650480261
United States,1650480155,1650480155,-111.9083,33.6258,,True,7.72,45,,,0,1650480261
Switzerland,1650480261,1650480261,6.901,44.1187,7155.18,False,176.06,342.84,5.2,7086.6,0,1650480261
United States,1650480261,1650480261,-111.6481,36.2561,11910.06,False,207.81,250.17,-0.33,11582.4,0,1650480261
Switzerland,1650480261,1650480261,-0.5412,42.5456,11544.3,False,221.91,45.56,-0.33,11582.4,0,1650480261
United States,1650480261,1650480261,-74.8624,43.1196,8549.64,False,204.66,277.95,0,8534.4,0,1650480261
United States,1650479519,1650480253,-97.1016,32.5229,1234.44,False,35.53,182.49,2.93,1249.68,0,1650480261
United States,1650480261,1650480261,-86.4016,35.3325,11612.88,False,256.14,60.65,0,11269.98,0,1650480261
United States,1650480127,1650480127,-115.1408,35.9746,,True,0,95.62,,,0,1650480261
United States,1650480261,1650480261,-85.3827,32.9803,8221.98,False,195.83,64.65,7.48,7932.42,0,1650480261
United States,1650480240,1650480241,-116.5383,33.8685,746.76,False,39.41,324.03,5.53,800.1,0,1650480261
Switzerland,1650480261,1650480261,5.4523,50.463,6979.92,False,196.84,128.85,8.45,6926.58,0,1650480261
Switzerland,1650480251,1650480258,8.5592,47.4504,,True,0,5.62,,,0,1650480261
United States,1650480261,1650480261,-84.6406,27.0161,13517.88,False,214.48,295.27,-0.33,13106.4,0,1650480261
Mexico,1650480259,1650480259,-83.0605,34.2218,5303.52,False,186.95,235.09,7.8,5120.64,0,1650480261
United States,1650480261,1650480261,-85.9526,42.8007,10797.54,False,266.84,94.64,0,10668,0,1650480261
United States,1650480261,1650480261,-96.563,32.7555,929.64,False,54.08,320.4,-1.63,944.88,0,1650480261
United States,1650480260,1650480261,-87.4002,41.6721,3322.32,False,167.03,305.6,0,3299.46,0,1650480261
United States,1650480255,1650480259,-114.0169,32.7754,12313.92,False,257.26,88.97,0.33,11887.2,0,1650480261
United States,1650480260,1650480261,-84.9676,30.8995,12854.94,False,241.45,139.15,0.33,12496.8,0,1650480261
New Zealand,1650480261,1650480261,143.7559,-37.3582,7612.38,False,209.42,292.53,9.75,7452.36,0,1650480261
United States,1650480261,1650480261,-92.3286,29.4988,10782.3,False,213.09,249.51,0.33,10363.2,0,1650480261
United States,1650480261,1650480261,-99.0405,40.4935,10180.32,False,260.65,75.72,-0.33,10058.4,0,1650480261
United States,1650480260,1650480260,-99.9785,39.2948,12016.74,False,263.15,79.52,-0.33,11887.2,0,1650480261
United States,1650480261,1650480261,-76.5508,40.9149,685.8,False,36.32,322.48,-1.95,601.98,0,1650480261
United States,1650480242,1650480243,-74.1736,40.6974,,True,0,45,,,0,1650480261
United States,1650480261,1650480261,-77.0497,38.8809,472.44,False,79.51,319.2,9.43,381,0,1650480261
Canada,1650480261,1650480261,-99.4164,50.1161,10005.06,False,131.51,279.68,2.28,10355.58,0,1650480261
United States,1650480258,1650480261,-80.6983,27.2215,7780.02,False,207.07,339.49,-13.33,7467.6,0,1650480261
United States,1650480259,1650480259,-123.3283,43.9292,1485.9,False,162.05,355.45,0.33,1607.82,0,1650480261
United States,1650480027,1650480027,-85.0779,42.0527,982.98,False,76.23,211.76,-1.3,685.8,0,1650480261
Canada,1650480261,1650480261,-79.8603,43.751,480.06,False,51.76,79.7,0.65,411.48,0,1650480261
United States,1650480261,1650480261,-118.5238,34.2199,716.28,False,46.02,354.23,1.3,731.52,0,1650480261
United States,1650480258,1650480260,-82.7122,32.8075,12839.7,False,232.96,339.44,0,12496.8,0,1650480261
United States,1650480261,1650480261,-83.6885,41.7196,1889.76,False,49.14,276.01,0,1859.28,0,1650480261
United States,1650480261,1650480261,-150.5121,60.6677,1752.6,False,82.36,206.73,0,1844.04,0,1650480261
United States,1650480261,1650480261,-73.1134,40.5151,9715.5,False,218.3,33.95,10.4,9578.34,0,1650480261
Australia,1650480261,1650480261,172.7167,-43.1579,4191,False,153.74,18.13,15.93,4114.8,0,1650480261
United States,1650480243,1650480243,-111.8541,41.7838,,True,0.06,210.94,,,0,1650480261
United States,1650480261,1650480261,-98.999,32.1928,14058.9,False,258.26,93.65,-0.33,13708.38,0,1650480261
United States,1650480261,1650480261,-96.117,37.7422,9593.58,False,200.39,243.63,-12.68,9403.08,0,1650480261
United States,1650480261,1650480261,-104.2168,38.6308,5547.36,False,221.25,108.01,11.7,5448.3,0,1650480261
Portugal,1650480261,1650480261,-4.0768,47.0995,10660.38,False,221.5,203.11,0,10675.62,0,1650480261
United States,1650480261,1650480261,-123.4075,48.1481,541.02,False,67.91,270.43,-3.9,670.56,0,1650480261
United States,,1650480261,,,,False,150.5,23.15,9.43,,0,1650480261
United States,1650480260,1650480261,-83.061,27.9302,2811.78,False,137.31,162.11,-4.88,2651.76,0,1650480261
United States,1650480260,1650480261,-86.2495,40.99,6690.36,False,203.5,353.47,-10.73,6583.68,0,1650480261
United States,1650480261,1650480261,-102.7056,43.9937,1524,False,75.48,251.32,0.33,1577.34,0,1650480261
United States,1650480258,1650480259,-85.0269,37.0096,7871.46,False,164.11,52.77,0,7620,0,1650480261
United States,1650480260,1650480261,-75.6265,39.7029,1653.54,False,72.32,351.41,1.95,1584.96,0,1650480261
United States,1650480261,1650480261,-118.1934,33.7904,586.74,False,37.51,205.16,4.55,609.6,0,1650480261
Portugal,1650480261,1650480261,29.7992,34.8382,12108.18,False,256.16,118.16,0.33,11887.2,0,1650480261
United States,1650480026,1650480034,-75.8425,39.9702,350.52,False,49.91,14.32,-3.58,251.46,0,1650480261
United States,1650480087,1650480087,-88.3901,33.3164,10066.02,False,225.79,245.07,0.33,9753.6,0,1650480261
Portugal,1650480261,1650480261,-0.7346,46.8251,11551.92,False,230.31,43.82,0,11582.4,0,1650480261
Portugal,1650480258,1650480258,-9.1471,38.7607,205.74,False,67.08,23.03,-4.55,129.54,0,1650480261
United States,1650480261,1650480261,-84.6415,43.0273,6492.24,False,206.05,124.52,0,6400.8,0,1650480261
Switzerland,1650480261,1650480261,8.4835,48.0996,3886.2,False,172.8,187.53,-12.03,3840.48,0,1650480261
United Kingdom,1650480260,1650480261,20.899,44.2808,10888.98,False,204.59,320.31,0.33,10972.8,0,1650480261
United States,1650480260,1650480261,-100.7669,46.8314,815.34,False,43.73,269.33,-0.65,899.16,0,1650480261
United States,1650480261,1650480261,-121.301,38.5231,3543.3,False,161.37,123.69,20.16,3558.54,0,1650480261
United States,1650480261,1650480261,-74.5112,40.9568,7018.02,False,210.62,98.43,-9.1,6926.58,0,1650480261
Mexico,1650480261,1650480261,-84.108,41.3163,4053.84,False,176.79,219.81,7.48,4000.5,0,1650480261
France,1650480260,1650480261,9.1202,43.0829,2857.5,False,128.62,113.08,-5.53,2827.02,0,1650480261
United States,1650480261,1650480261,-86.5524,34.7752,990.6,False,82.65,351.77,-0.33,929.64,0,1650480261
United States,1650480261,1650480261,-119.9357,35.4712,10965.18,False,205.29,181.01,0,10668,0,1650480261
Portugal,1650480261,1650480261,-35.9668,-10.5789,12900.66,False,238.14,207.4,0,12192,0,1650480261
Switzerland,1650480261,1650480261,2.5938,48.9978,396.24,False,66.01,85.98,14.31,381,0,1650480261
United States,1650480261,1650480261,3.99,47.8566,9776.46,False,247.53,310.11,0,9753.6,0,1650480261
United States,1650480018,1650480018,-77.1649,38.6814,259.08,False,53.22,16.86,-2.6,144.78,0,1650480261
United States,1650480260,1650480261,-122.3056,47.451,,True,4.37,270,,,0,1650480261
United States,1650480257,1650480260,-85.4271,37.3522,11262.36,False,225.99,351.1,0,10972.8,0,1650480261
United States,1650480261,1650480261,-82.6395,40.7402,11445.24,False,248.15,122.9,0.33,11254.74,0,1650480261
United States,1650480261,1650480261,-82.5618,27.5257,12923.52,False,226.15,159.22,0,12496.8,0,1650480261
Brazil,1650480260,1650480261,-46.5323,-23.6095,4869.18,False,180.82,260.83,9.43,4648.2,0,1650480261
New Zealand,1650480261,1650480261,142.9352,-37.5303,9326.88,False,203.68,275.65,0.33,9144,0,1650480261
United States,1650480251,1650480253,-99.8228,26.213,6667.5,False,190.59,10.73,9.1,6332.22,0,1650480261
Germany,1650480259,1650480259,2.4207,48.9639,,True,0,67.5,,,0,1650480261
United States,1650480258,1650480258,-77.9238,38.5777,1295.4,False,58.85,36.47,-2.93,1203.96,0,1650480261
Brazil,1650480261,1650480261,-42.5809,-22.9642,3459.48,False,143.35,252.67,-7.15,3314.7,0,1650480261
Brazil,1650480135,1650480135,-45.4629,-17.0735,12260.58,False,206.28,200.74,0,11590.02,0,1650480261
United States,1650480261,1650480261,-74.1781,40.4646,1790.7,False,93.31,41.42,-4.55,1729.74,0,1650480261
United States,1650480261,1650480261,-80.2065,41.0009,7505.7,False,210.48,1.54,-6.5,7391.4,0,1650480261
United States,1650480261,1650480261,-116.7158,48.1911,8336.28,False,182.47,64.45,0,8534.4,0,1650480261
Portugal,1650480261,1650480261,-102.6888,44.7157,12131.04,False,210,255.39,0.33,12192,0,1650480261
Germany,1650480257,1650480260,8.5243,50.0367,,True,0.9,340.31,,106.68,0,1650480261
United States,1650480255,1650480261,-93.5226,32.5729,10698.48,False,218.01,257.05,0,10363.2,0,1650480261
